mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
36.902656531333925,4.026662138096076,1.3782925844192504,0.03920049597468705,1000.0,0.5,sigmoid,"{'C': 1000.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.5699468757905388,0.5524917783961548,0.5610928408803441,0.557045282064255,0.570958765494561,0.557045282064255,0.5605868960283329,0.5560333923602327,0.5552744750822161,0.5604757085020243,0.5600951296662915,0.005767218558961982,1,0.5584101641556105,0.5607994153361817,0.5607431976613447,0.561164830222622,0.5594501911400944,0.5609680683606926,0.5601810209129751,0.5605464357994153,0.561052394872948,0.5592939258509712,0.5602609644312855,0.0008701536197122803
38.52848134040833,6.293911323979706,1.3923686027526856,0.03721409355614209,100.0,0.5,sigmoid,"{'C': 100.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.5699468757905388,0.5524917783961548,0.5608398684543385,0.557045282064255,0.570958765494561,0.557045282064255,0.5605868960283329,0.5560333923602327,0.5552744750822161,0.5604757085020243,0.560069832423691,0.005763340244678417,2,0.5584101641556105,0.5607994153361817,0.5607150888239263,0.561164830222622,0.5594501911400944,0.5609680683606926,0.5601810209129751,0.5605464357994153,0.561052394872948,0.5592939258509712,0.5602581535475436,0.0008686353828924855
31.064170956611633,12.496290967683418,1.3317686319351196,0.030045465649258748,100.0,1,sigmoid,"{'C': 100.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.5694409309385277,0.5522388059701493,0.5608398684543385,0.5572982544902606,0.5712117379205667,0.5575512269162661,0.5603339236023274,0.5562863647862383,0.5552744750822161,0.5602226720647774,0.5600698260225668,0.0057035574664060125,3,0.5585788171801215,0.5607994153361817,0.5607713064987632,0.561108612547785,0.5593939734652574,0.5607713064987632,0.5602091297503935,0.5605183269619969,0.5609961771981111,0.5592939258509712,0.5602440991288345,0.0008156228796598262
29.19325170516968,9.214119803813391,1.3177382707595826,0.04256922394091268,1000.0,1,sigmoid,"{'C': 1000.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.5694409309385277,0.5522388059701493,0.5608398684543385,0.5572982544902606,0.5712117379205667,0.5575512269162661,0.5603339236023274,0.5562863647862383,0.5552744750822161,0.5602226720647774,0.5600698260225668,0.0057035574664060125,3,0.5585788171801215,0.5607994153361817,0.5607713064987632,0.561108612547785,0.5593939734652574,0.5607713064987632,0.5602091297503935,0.5605183269619969,0.5609961771981111,0.5592939258509712,0.5602440991288345,0.0008156228796598262
37.84911177158356,6.608051000201384,1.4255767107009887,0.04560808871713507,10.0,0.5,sigmoid,"{'C': 10.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.5699468757905388,0.5522388059701493,0.5608398684543385,0.557045282064255,0.570958765494561,0.557045282064255,0.5605868960283329,0.5560333923602327,0.5552744750822161,0.5604757085020243,0.5600445351810903,0.005797004232586686,5,0.5584101641556105,0.5607713064987632,0.5607150888239263,0.561164830222622,0.5594501911400944,0.5609680683606926,0.5601810209129751,0.5605745446368339,0.5610242860355296,0.5592658178036372,0.5602525318590683,0.0008685304500374569
24.974649715423585,8.426839677651472,1.3346544981002808,0.04679370196240731,10.0,1,sigmoid,"{'C': 10.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.5694409309385277,0.5522388059701493,0.5608398684543385,0.557045282064255,0.5712117379205667,0.5575512269162661,0.5603339236023274,0.5562863647862383,0.5552744750822161,0.5602226720647774,0.5600445287799662,0.00571634092421189,6,0.5585507083427029,0.5607994153361817,0.5607713064987632,0.561052394872948,0.559422082302676,0.5607994153361817,0.5602091297503935,0.5605464357994153,0.5609680683606926,0.5592939258509712,0.5602412882450926,0.0008130705894301066
59.86404187679291,11.976646049973684,2.459685707092285,0.2108735021056064,1000.0,0.01,sigmoid,"{'C': 1000.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.568682013660511,0.5504679989881103,0.5610928408803441,0.5578041993422717,0.5701998482165443,0.558816089046294,0.5610928408803441,0.5555274475082216,0.5540096129521882,0.5625,0.5600192891474829,0.0058396903877602525,7,0.5582415111310997,0.5607431976613447,0.5605464357994153,0.5611367213852035,0.5591972116033281,0.5601529120755565,0.5601529120755565,0.5605464357994153,0.5608837418484371,0.558816089046294,0.5600417168425651,0.0009159924020536543
76.25462794303894,20.95052829110449,2.869463348388672,0.035966709694561914,100.0,0.01,sigmoid,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5691879585125221,0.5504679989881103,0.5610928408803441,0.5578041993422717,0.5701998482165443,0.558816089046294,0.5610928408803441,0.5555274475082216,0.5540096129521882,0.5619939271255061,0.5600192763452347,0.005897345241671059,8,0.5582415111310997,0.5607431976613447,0.5605464357994153,0.5611367213852035,0.5591972116033281,0.5601529120755565,0.5601529120755565,0.5605464357994153,0.5608837418484371,0.5585069005256205,0.5600107979904978,0.0009609557057344371
46.39883902072906,4.093635145109389,1.385259246826172,0.05330793832886446,1.0,0.5,sigmoid,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.5699468757905388,0.5527447508221603,0.5608398684543385,0.557045282064255,0.570958765494561,0.557045282064255,0.5605868960283329,0.5560333923602327,0.5542625853781937,0.5607287449392713,0.5600192443396139,0.005825489939643212,9,0.5584382729930291,0.5607150888239263,0.5607713064987632,0.561052394872948,0.5594501911400944,0.5607713064987632,0.5601529120755565,0.5606588711490893,0.5607150888239263,0.5590409534249655,0.5601766386301061,0.0008441918649334555
77.61091244220734,20.672661598384483,2.83670117855072,0.0668930101261009,1.0,0.01,sigmoid,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5679230963824943,0.5507209714141159,0.5610928408803441,0.5578041993422717,0.5701998482165443,0.558816089046294,0.5613458133063496,0.5555274475082216,0.5540096129521882,0.5625,0.5599939919048824,0.0056945547108339396,10,0.5579885315943333,0.5607431976613447,0.5603496739374859,0.561108612547785,0.5592253204407466,0.5601529120755565,0.560237238587812,0.5605745446368339,0.5607713064987632,0.5584787924782866,0.5599630130458948,0.0009927155411061448
77.54365839958191,15.418443444831585,2.856638264656067,0.053376079213297054,10.0,0.01,sigmoid,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5691879585125221,0.5499620541360991,0.5608398684543385,0.5578041993422717,0.5701998482165443,0.558816089046294,0.5610928408803441,0.5555274475082216,0.5540096129521882,0.5625,0.5599939919048824,0.005995638499128683,10,0.5582415111310997,0.5606869799865077,0.5604621092871599,0.5611929390600405,0.5591972116033281,0.5601529120755565,0.5601810209129751,0.5605464357994153,0.5608837418484371,0.558816089046294,0.5600360950750815,0.0009148607227982974
45.6031631231308,2.9193849139432277,1.3497185468673707,0.06980948522484867,1.0,1,sigmoid,"{'C': 1.0, 'gamma': 1, 'kernel': 'sigmoid'}",0.5694409309385277,0.5524917783961548,0.5608398684543385,0.557045282064255,0.5712117379205667,0.5572982544902606,0.5603339236023274,0.5562863647862383,0.5540096129521882,0.5604757085020243,0.5599433462106882,0.005813125942674133,12,0.5582696199685181,0.5607994153361817,0.5608556330110187,0.561052394872948,0.5593939734652574,0.5607431976613447,0.5602653474252305,0.5605464357994153,0.5607431976613447,0.5591252775669674,0.5601794492768226,0.0008807381383806705
